companyname;address;phone;fax;email;qualification;Certificat RGE
PLATRERIE MOSELLANE;9 IMP. DES ANCIENS HAUTS FOURNEAUX 57100 THIONVILLE;03 82 88 15 15;03 82 88 49 37;poch.christophe@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-288-PLATRERIE MOSEL-E288-2-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-288-PLATRERIE MOSEL-E288-2-20160325-RGEAnnexe.pdf&f=
GUENANGE CHAUFFAGE;18 BIS BLD SOUS LES VIGNES 57310 GUENANGE;03 82 82 66 15;03 82 59 36 20;guenangechauffage@neuf.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-289-GUENANGE CHAUFF-E289-3-20160416.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-289-GUENANGE CHAUFF-E289-3-20160416-RGEAnnexe.pdf&f=
ZUCCOLO (SEE);Z.A. DU CHAMPS DE MARS 57270 RICHEMONT;03 87 71 29 65;03 87 70 21 78;ets.zuccolo@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-292-ZUCCOLO (SEE)-E292-1-20160419.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-292-ZUCCOLO (SEE)-E292-1-20160419-RGEAnnexe.pdf&f=
S.E. DES ETS TRITZ FRANCOIS;7 RUE ERCKMANN CHATRIAN 57320 OBERDORFF;03 87 78 45 70;03 87 78 44 98;se.tritz57320@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-293-S.E. DES ETS TR-E293-3-20160325.pdf&f=;
MANGIULLO ANTOINE;135 AVENUE JEANNE D'ARC 57290 FAMECK;03 82 52 87 60;03 82 58 42 45;info@mangiullo-peinture.com;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-294-MANGIULLO ANTOI-E294-1-20160321.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-294-MANGIULLO ANTOI-E294-1-20160321-RGEAnnexe.pdf&f=
COFATEC (COMPAGNIE FRANCAISE D'ASSISTANCE TECHNIQUE);3 RUE DES ORMES 57140 LA MAXE;03 87 62 25 97;03 87 66 82 77;agence@sas-cofatec.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-297-COFATEC (COMPAG-E297-7-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-297-COFATEC (COMPAG-E297-7-20160325-RGEAnnexe.pdf&f=
RENE HELLUY SAS;RUE EDOUARD BRANLY 57400 SARREBOURG;03 87 03 10 81;03 87 23 93 62;rene.helluy@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\D57-Certificat-305-RENE HELLUY SAS-8413-7-20151015.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\D57-Certificat-305-RENE HELLUY SAS-8413-7-20151015-RGEAnnexe.pdf&f=
ENTREPRISE A.VIRGILI CHAUFFAGE ET SANITAIRE SAS;488 ROUTE DE FONTOY 57440 ANGEVILLERS;03 82 59 45 10;03 82 91 75 12;contact@virgili.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-308-ENTREPRISE A.VI-E308-1-20160411.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-308-ENTREPRISE A.VI-E308-1-20160411-RGEAnnexe.pdf&f=
BROVEDANI B.T.P.;2 AVENUE BADE WURTENBERG 57380 FAULQUEMONT;03 87 91 04 40;03 87 91 03 14;olivier.brovedani@brovedani.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-313-BROVEDANI B.T.P-E313-2-20160325.pdf&f=;
VAGOST SARL;22,RUE DE LA RIVIÈRE 57400 HILBESHEIM;03 87 07 70 44;03 87 07 70 44;menuiserie-vagost@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-318-VAGOST SARL-E318-1-20160224.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-318-VAGOST SARL-E318-1-20160224-RGEAnnexe.pdf&f=
RFPB (REVETEMENTS FACADES PEINTURES BATIMENTS);2 A RUE DE LA LIBERTE 57450 THEDING;03 87 89 14 26;03 87 89 19 60;rfpb.rfpb@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-323-RFPB (REVETEMEN-E323-3-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-323-RFPB (REVETEMEN-E323-3-20160325-RGEAnnexe.pdf&f=
BECKER (STE D'EXP DES ETS);Z.A. MESSOMPRE 57280 SEMECOURT;03 87 51 11 60;03 87 51 20 42;michelbecker57280@gmail.com;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-325-BECKER (STE D'E-E325-2-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-325-BECKER (STE D'E-E325-2-20160325-RGEAnnexe.pdf&f=
ETS LEON BAR;37 AVENUE DE STRASBOURG 57070 METZ;03 87 74 16 33;03 87 74 78 50;valerie@barsecurite.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-328-ETS LEON BAR-E328-3-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-328-ETS LEON BAR-E328-3-20160325-RGEAnnexe.pdf&f=
BARBIER ROGER (S.E.E) ET FILS;ZAC DE JAILLY 57535 MARANGE SILVANGE;03 87 80 54 33;03 87 51 94 92;barbier.the@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-342-BARBIER ROGER (-E342-1-20160419.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-342-BARBIER ROGER (-E342-1-20160419-RGEAnnexe.pdf&f=
KUBLER - CHEVRIER ETS;10 VALLEE DES LOUPS 57560 ABRESCHVILLER;03 87 03 11 42;03 87 23 09 97;kubler.chevrier@gmail.com;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-343-KUBLER - CHEVRI-E343-1-20160219.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-343-KUBLER - CHEVRI-E343-1-20160219-RGEAnnexe.pdf&f=
EGPL;ZONE ARTISANALE 57865 AMANVILLERS;03 87 53 42 13;03 87 53 51 96;egpl@peinture-egpl.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-347-EGPL-E347-4-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-347-EGPL-E347-4-20160325-RGEAnnexe.pdf&f=
DURIGON S.A.R.L.;16 RUE D'EMMERSWEILER 57600 FORBACH;03 87 85 03 18;03 87 85 03 18;ent.durigon@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-350-DURIGON S.A.R.L-E350-2-20160325.pdf&f=;
GENERALE DE CHAUFFAGE WEBER MICHEL;9 ROUTE DE MARANGE 57280 MAIZIERES LES METZ;03 87 80 48 96;03 87 51 91 08;sgc.weber@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-354-GENERALE DE CHA-E354-2-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-354-GENERALE DE CHA-E354-2-20160325-RGEAnnexe.pdf&f=
VALLOIS CLAUDE - S.A.R.L.;95 RUE ST QUENTIN 57950 MONTIGNY LES METZ;03 87 63 80 88;03 87 56 92 42;claude.vallois@yahoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-355-VALLOIS CLAUDE-E355-1-20160308.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-355-VALLOIS CLAUDE-E355-1-20160308-RGEAnnexe.pdf&f=
WERQUET (ETABLISSEMENTS);40 RUE DES FRERES HERBETH 57430 SARRALBE;03 87 97 03 93;;ets.werquet@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-360-WERQUET (ETABLI-E360-1-20160223.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-360-WERQUET (ETABLI-E360-1-20160223-RGEAnnexe.pdf&f=
PASTRO FRERES;ZI CHEMIN DE LA HEID 57350 STIRING WENDEL;03 87 87 53 51;03 87 85 69 86;ppfx@sfr.fr;;
PIGEOT BERNARD;39 RUE JEAN BURGER 57070 STJULIENLESMETZ;03 87 76 18 18;03 87 36 23 62;bernard.pigeot@modulonet.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-368-PIGEOT BERNARD-E368-2-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-368-PIGEOT BERNARD-E368-2-20160325-RGEAnnexe.pdf&f=
BATI RENOV;30 RUE DU PLAN INCLINE 57405 ARZVILLER;03 87 07 93 43;;;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-371-BATI RENOV-E371-4-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-371-BATI RENOV-E371-4-20160325-RGEAnnexe.pdf&f=
CHEMI-TECHNIC/TECHNI-TOITURE;19 RUE EDMOND GOUDCHAUX 57000 METZ;03 87 50 51 55;03 87 55 18 83;chemitechnic@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-376-CHEMI-TECHNIC_T-E376-1-20160414.pdf&f=;
DECKER SARL;5 RUE DU CHAUDRON 57220 BOULAY;03 87 79 16 56;;antoine.trunfio@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-377-DECKER SARL-E377-2-20160318.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-377-DECKER SARL-E377-2-20160318-RGEAnnexe.pdf&f=
FENCL CHAUFFAGE SARL;ROUTE DE METZ 57220 PIBLANGE STREIFFEL;03 87 35 76 95;03 87 35 79 88;jocelyne.fencl@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-378-FENCL CHAUFFAGE-E378-1-20160405.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-378-FENCL CHAUFFAGE-E378-1-20160405-RGEAnnexe.pdf&f=
LES COMPAGNONS DU BOIS (S.C.O.P.);14 BIS RUE DES DRAPIERS 57070 METZ;03 87 74 93 35;03 87 74 93 60;lescompagnonsdubois@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-381-LES COMPAGNONS-E381-1-20160314.pdf&f=;
DE NARDA MENUISERIE;RUE DU DOCTEUR SCHWEITZER Z.I.L. 57130 ARS SUR MOSELLE;03 87 77 77 60;03 87 77 77 61;menuiserie@denarda.com;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-382-DE NARDA MENUIS-E382-1-20160302.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-382-DE NARDA MENUIS-E382-1-20160302-RGEAnnexe.pdf&f=
SMCP RICHARD PIERRE;Z.A. DE PELTRE 57245 PELTRE;03 87 38 21 60;03 87 38 14 74;smcp.richard@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-383-SMCP RICHARD PI-E383-3-20160416.pdf&f=;
MAYEUR ET ROMANI LES TECHNICIENS DU TOIT;ROUTE DE VITRY 57270 UCKANGE;03 82 86 19 20;03 82 86 14 11;mayeur-romani@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-387-MAYEUR ET ROMAN-E387-1-20160321.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-387-MAYEUR ET ROMAN-E387-1-20160321-RGEAnnexe.pdf&f=
CORAN ET SOLDERA;38 BOUCLE DU FERRONNIER 57180 TERVILLE;03 82 59 60 59;03 82 59 60 55;sebastien.coran@gmail.com;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-396-CORAN ET SOLDER-E396-1-20160412.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-396-CORAN ET SOLDER-E396-1-20160412-RGEAnnexe.pdf&f=
LES MENUISIERS REUNIS;4 RUE DES ARTISANS 57100 THIONVILLE;03 82 51 01 07;03 82 56 66 88;les-menuisiers-reunis@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-401-LES MENUISIERS-E401-2-20160325.pdf&f=;
SOCIETE D'EXPLOITATION DE L'ENTREPRISE POINSIGNON;25 RUE DE LA GARE 57940 METZERVISSE;03 82 56 90 40;03 82 56 97 40;0684815243@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-407-SOCIETE D'EXPLO-E407-5-20160318.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-407-SOCIETE D'EXPLO-E407-5-20160318-RGEAnnexe.pdf&f=
LE CHAUFFAGE LORRAIN;54 RUE DU STADE 57490 L'HOPITAL;03 87 93 52 66;03 87 90 20 81;lechauffage.lorrain@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-411-LE CHAUFFAGE LO-E411-1-20160404.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-411-LE CHAUFFAGE LO-E411-1-20160404-RGEAnnexe.pdf&f=
CHAUFFAGES ET FERMETURES DE L'EST (CFE);3 PLACE THEODORE HEITZMANN 57620 LEMBERG;03 87 06 44 61;03 87 06 85 50;cfe57@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-412-CHAUFFAGES ET F-E412-7-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-412-CHAUFFAGES ET F-E412-7-20160325-RGEAnnexe.pdf&f=
NAPOLI FRERES;29 A RUE DE VERDUN 57120 ROMBAS;03 87 67 53 58;03 87 67 23 23;sarl.napoli@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-413-NAPOLI FRERES-E413-3-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-413-NAPOLI FRERES-E413-3-20160325-RGEAnnexe.pdf&f=
DI FILIPPO MENUISERIE;28 BOUCLE DU FERRONNIER 57100 THIONVILLE;03 82 34 35 43;03 82 88 56 40;mendifilippo@free.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-414-DI FILIPPO MENU-E414-1-20160324.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-414-DI FILIPPO MENU-E414-1-20160324-RGEAnnexe.pdf&f=
REIMANN;28 RUE DU BOIS D'ORLY 57685 AUGNY;03 87 55 22 02;;info@reimann.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-438-REIMANN-E438-1-20160405.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-438-REIMANN-E438-1-20160405-RGEAnnexe.pdf&f=
LIMIDO SERRURERIE;2 RUE DU BAZIN 57160 ROZERIEULLES;03 87 60 11 78;03 87 60 12 91;sarl.limido@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-441-LIMIDO SERRURER-E441-2-20160325.pdf&f=;
HOFFMANN REMIATTE;71 RUE KELLERMANN 57000 METZ;03 87 63 77 32;03 87 63 38 20;hof.rem@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-443-HOFFMANN REMIAT-E443-1-20160418.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-443-HOFFMANN REMIAT-E443-1-20160418-RGEAnnexe.pdf&f=
GRANTHIL GILBERT;1 ROUTE NATIONALE 57480 MALLING;03 82 50 14 40;03 82 50 33 79;menuiserie.granthil@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-445-GRANTHIL GILBER-E445-1-20160322.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-445-GRANTHIL GILBER-E445-1-20160322-RGEAnnexe.pdf&f=
MENICA SARL;21 RUE PRINCIPALE 57920 BUDING;03 82 83 50 72;03 82 83 51 10;contact@menuiserie-menica.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-449-MENICA SARL-E449-2-20160229.pdf&f=;
GF MOSELLE;AVENUE DES SAULNIERS 57170 CHATEAU SALINS;03 87 05 11 47;03 87 05 28 65;michelet.gfmoselle@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-454-GF MOSELLE-E454-3-20160325.pdf&f=;
SOMOBAT (SOCIETE MODERNE DE BATIMENT);5 RUE DES VIGNES 57050 LONGEVILLE LES METZ;03 87 30 37 81;;72somobat@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-457-SOMOBAT (SOCIET-E457-1-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-457-SOMOBAT (SOCIET-E457-1-20160325-RGEAnnexe.pdf&f=
ISOLHOME;4 IMPASSE BEL AIR 57200 BLIES GUERSVILLER;03 87 95 31 30;;isol.home@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-468-ISOLHOME-E468-4-20160318.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-468-ISOLHOME-E468-4-20160318-RGEAnnexe.pdf&f=
TEITGEN MENUISERIE (SARL);10 AVENUE DE GAULLE 57570 CATTENOM;03 82 55 41 96;03 82 55 32 13;menuiserieteitgen@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-471-TEITGEN MENUISE-E471-1-20160404.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-471-TEITGEN MENUISE-E471-1-20160404-RGEAnnexe.pdf&f=
ALU BADRE SARL;CS 80024 SCY CHAZELLES 57161 MOULINS LES METZ CEDEX;03 87 60 01 83;03 87 60 59 56;secretariat@alu-badre.com;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-472-ALU BADRE SARL-E472-1-20160329.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-472-ALU BADRE SARL-E472-1-20160329-RGEAnnexe.pdf&f=
CIBE;12 RUE ST FIACRE 57100 THIONVILLE;03 82 53 26 98;03 82 53 13 98;cibe-thionville@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-482-CIBE-E482-3-20160318.pdf&f=;
ANTONICELLI MARIO;129 B ROUTE DE LORRY 57050 METZ;03 87 30 02 41;03 87 32 17 84;mario.antonicelli@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-490-ANTONICELLI MAR-E490-6-20160416.pdf&f=;
BARTH MENUISERIE EBENISTERIE;98 RUE DE STRASBOURG 57070 METZ;03 87 74 34 29;03 87 36 91 83;menuiserie-barth@arteba.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-492-BARTH MENUISERI-E492-1-20160223.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-492-BARTH MENUISERI-E492-1-20160223-RGEAnnexe.pdf&f=
WEIL - SARL;53 RUE BASSE ANNEAU 57560 ST QUIRIN;03 87 08 63 30;03 87 08 67 47;amandine.weil@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-509-WEIL - SARL-E509-1-20160414.pdf&f=;
TECHNIQUES DE CHAUFFAGE;6 RUE DE BOURGOGNE 57690 CREHANGE;03 87 94 23 26;03 87 94 48 20;techniquesdechauffage@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-512-TECHNIQUES DE C-E512-2-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-512-TECHNIQUES DE C-E512-2-20160325-RGEAnnexe.pdf&f=
SOGETRA;1 ROUTE DE BRIEY 57160 CHATEL ST GERMAIN;03 87 60 46 44;03 87 60 44 50;fabio.costantini@rizzon.com;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-519-SOGETRA-E519-1-20160229.pdf&f=;
HEER FRERES;PARC ACTISUD SAINT JEAN 57130 JOUY AUX ARCHES;03 87 38 77 50;03 87 38 77 51;heerfreres@gmail.com;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-523-HEER FRERES-E523-3-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-523-HEER FRERES-E523-3-20160325-RGEAnnexe.pdf&f=
W.Z. CONSTRUCTIONS;VOIE ROMAINE 57280 SEMECOURT;03 87 51 15 16;03 87 51 10 55;zannier.constructions@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-528-W.Z. CONSTRUCTI-E528-1-20160401.pdf&f=;
HABITAT SERVICE ABRAM;5 PLACE DE LA LIBERATION 57470 HOMBOURG HAUT;03 87 81 49 21;;habitatserviceabram@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-537-HABITAT SERVICE-E537-3-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-537-HABITAT SERVICE-E537-3-20160325-RGEAnnexe.pdf&f=
FORCA GILBERT;7 RUE DE LA FERME ST LADRE 57155 MARLY;03 87 65 20 30;03 87 62 56 94;gilbertforca@voila.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-540-FORCA GILBERT-E540-7-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-540-FORCA GILBERT-E540-7-20160325-RGEAnnexe.pdf&f=
CHEMI SERVICES S.A.R.L.;Z.A RUE DU PONT 57525 TALANGE;03 87 70 21 70;03 87 70 32 96;chemi-services@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-543-CHEMI SERVICES-E543-2-20160325.pdf&f=;
BALESTRERI S.A.R.L.;42 RUE DE HOMBOURG 57470 GUENVILLER;03 87 90 80 81;03 87 90 82 56;paul.balestreri@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-546-BALESTRERI  S.A-E546-8-20160402.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-546-BALESTRERI  S.A-E546-8-20160402-RGEAnnexe.pdf&f=
BOHLE;ZI LA HEID 57351 STIRING WENDEL CEDEX;03 87 87 52 76;03 87 88 05 20;christine.wendling@bohle-france.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-553-BOHLE-E553-2-20160325.pdf&f=;
MASCI SAS;ZA DU CHAMP DE MARS 57270 RICHEMONT;03 87 71 43 95;03 87 70 11 52;masci.bruno@masci.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-561-MASCI SAS-E561-2-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-561-MASCI SAS-E561-2-20160325-RGEAnnexe.pdf&f=
BECKER SARL;14 VOIE ROMAINE 57320 ANZELING;03 87 35 75 27;03 87 75 71 40;beckertp57@sfr.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-566-BECKER SARL-E566-1-20160223.pdf&f=;
SIMALU;RUE DE LA CHAPELLE 57890 PORCELETTE;03 87 93 78 10;03 87 90 11 78;simalu@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-568-SIMALU-E568-1-20160414.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-568-SIMALU-E568-1-20160414-RGEAnnexe.pdf&f=
SOFIB (SARL);40, AVENUE DE THIONVILLE 57148 WOIPPY CEDEX;03 87 32 24 32;03 87 32 88 82;info@sofib-metal.com;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-569-SOFIB (SARL)-E569-3-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-569-SOFIB (SARL)-E569-3-20160325-RGEAnnexe.pdf&f=
PIFFLINGER JEAN EMILE (S.A.R.L.);6,IMPASSE GÉO CHAVEZ 57155 MARLY;03 87 65 51 14;03 87 50 51 01;jean-emile.pifflinger@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-573-PIFFLINGER JEAN-E573-2-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-573-PIFFLINGER JEAN-E573-2-20160325-RGEAnnexe.pdf&f=
SERPLASTE;142 RUE POINCARE 57340 MORHANGE;03 87 86 14 55;03 87 86 26 95;courrier.serplaste@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-576-SERPLASTE-E576-1-20160301.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-576-SERPLASTE-E576-1-20160301-RGEAnnexe.pdf&f=
GODIN SARL;46 RUE DE METZ 57255 SAINTE MARIE AUX CHENES;03 87 61 92 31;03 87 61 89 50;c.godin.chauff@sarlgodin.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-577-GODIN SARL-E577-1-20160314.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-577-GODIN SARL-E577-1-20160314-RGEAnnexe.pdf&f=
METZGER SAS;13 RUE DES DRAPIERS 57070 METZ;03 87 74 23 42;03 87 76 98 56;accueil@metzgerlorraine.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-582-METZGER SAS-E582-2-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-582-METZGER SAS-E582-2-20160325-RGEAnnexe.pdf&f=
MATT PASCAL;ZONE ARTISANALE 57565 NIDERVILLER;03 87 03 17 89;03 87 03 17 89;pascal.matt57@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-584-MATT PASCAL-E584-8-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-584-MATT PASCAL-E584-8-20160325-RGEAnnexe.pdf&f=
